CMTE_ID,FILE_NUM,TRANSACTION_TP,Month,Day,Year,TRANSACTION_AMT,STATE,ENTITY_TYPE,CAND_ID,CAND_NAME,OFFICE,COLOR
AGXPR01A,10,24K,1,1,2015,456,CA,PAC,AGXAD01,Active Directory Domain System,H,#74B232
AGXPR01A,20,24K,1,1,2015,705,CA,PAC,AGXPS01,PeopleSoft,H,#B1ED6B
AGXPR01A,32,24K,1,1,2015,109,CA,PAC,AGXOF01,Oracle Financial System,H,#59A6CC
AGXPR01A,56,24K,1,1,2015,119,CA,PAC,AGXFB01,Facebook,H,#183F55
AGXPR01B,10,24K,1,1,2015,312,CA,PAC,AGXAD01,Active Directory Domain System,H,#74B232
AGXPR01B,32,24K,1,1,2015,45,CA,PAC,AGXOF01,Oracle Financial System,H,#59A6CC
AGXPR01B,56,24K,1,1,2015,2,CA,PAC,AGXFB01,Facebook,H,#183F55
AGXPR01C,10,24K,1,1,2015,289,CA,PAC,AGXAD01,Active Directory Domain System,H,#74B232
AGXPR01C,32,24K,1,1,2015,167,CA,PAC,AGXOF01,Oracle Financial System,H,#59A6CC
AGXPR01C,35,24K,1,1,2015,81,CA,PAC,AGXUP01,Ultipro,H,#C8E1EF
AGXPR01C,56,24K,1,1,2015,3,CA,PAC,AGXFB01,Facebook,H,#183F55
AGXPR01D,10,24K,1,1,2015,410,CA,PAC,AGXAD01,Active Directory Domain System,H,#74B232
AGXPR01D,20,24K,1,1,2015,710,CA,PAC,AGXPS01,PeopleSoft,H,#B1ED6B
AGXPR01D,35,24K,1,1,2015,65,CA,PAC,AGXUP01,Ultipro,H,#C8E1EF
AGXPR01D,56,24K,1,1,2015,1,CA,PAC,AGXFB01,Facebook,H,#183F55
AGXPR01E,10,24K,1,1,2015,369,CA,PAC,AGXAD01,Active Directory Domain System,H,#74B232
AGXPR01E,20,24K,1,1,2015,698,CA,PAC,AGXPS01,PeopleSoft,H,#B1ED6B
AGXPR01E,32,24K,1,1,2015,87,CA,PAC,AGXOF01,Oracle Financial System,H,#59A6CC
AGXPR01E,35,24K,1,1,2015,3,CA,PAC,AGXUP01,Ultipro,H,#C8E1EF
AGXPR01E,56,24K,1,1,2015,12,CA,PAC,AGXFB01,Facebook,H,#183F55
AGXPR01F,10,24K,1,1,2015,380,CA,PAC,AGXAD01,Active Directory Domain System,H,#74B232
AGXPR01F,20,24K,1,1,2015,693,CA,PAC,AGXPS01,PeopleSoft,H,#B1ED6B
AGXPR01F,32,24K,1,1,2015,109,CA,PAC,AGXOF01,Oracle Financial System,H,#59A6CC
AGXPR01F,56,24K,1,1,2015,2,CA,PAC,AGXFB01,Facebook,H,#183F55
AGXPR01G,10,24K,1,1,2015,405,CA,PAC,AGXAD01,Active Directory Domain System,H,#74B232
AGXPR01G,20,24K,1,1,2015,721,CA,PAC,AGXPS01,PeopleSoft,H,#B1ED6B
AGXPR01G,32,24K,1,1,2015,288,CA,PAC,AGXOF01,Oracle Financial System,H,#59A6CC
AGXPR01G,56,24K,1,1,2015,13,CA,PAC,AGXFB01,Facebook,H,#183F55
AGXPR01H,10,24K,1,1,2015,293,CA,PAC,AGXAD01,Active Directory Domain System,H,#74B232
AGXPR01H,32,24K,1,1,2015,201,CA,PAC,AGXOF01,Oracle Financial System,H,#59A6CC
AGXPR01I,10,24K,1,1,2015,124,CA,PAC,AGXAD01,Active Directory Domain System,H,#74B232
AGXPR01I,32,24K,1,1,2015,16,CA,PAC,AGXOF01,Oracle Financial System,H,#59A6CC
AGXPR01J,10,24K,1,1,2015,581,CA,PAC,AGXAD01,Active Directory Domain System,H,#74B232
AGXPR01J,20,24K,1,1,2015,5,CA,PAC,AGXPS01,PeopleSoft,H,#B1ED6B
AGXPR01J,32,24K,1,1,2015,174,CA,PAC,AGXOF01,Oracle Financial System,H,#59A6CC
